aircraft,airline_name,cabin_staff_service,country,date,food_&_beverages,ground_service,inflight_entertainment,rating,recommended,seat_comfort,seat_type,type_of_traveller,value_for_money,verified_trip,wifi_&_connectivity
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-06,4.0,-1.0,4.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-07,5.0,-1.0,1.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-07,5.0,-1.0,1.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-07,3.0,-1.0,2.0,6,True,3.0,First Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-07,3.0,-1.0,2.0,6,True,3.0,First Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-07,5.0,-1.0,4.0,10,True,5.0,Business Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-08,4.0,-1.0,5.0,10,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-08,4.0,-1.0,4.0,7,True,2.0,Business Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-08,5.0,-1.0,5.0,8,True,5.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-08,5.0,-1.0,5.0,8,True,5.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-09,4.0,-1.0,4.0,10,True,4.0,Business Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-09,4.0,-1.0,4.0,10,True,4.0,Business Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-10,3.0,-1.0,1.0,8,True,5.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-13,4.0,-1.0,5.0,9,True,3.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-13,5.0,-1.0,1.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-13,5.0,-1.0,1.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-14,4.0,-1.0,3.0,8,True,3.0,Premium Economy,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-14,4.0,-1.0,4.0,9,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-16,4.0,-1.0,5.0,8,True,5.0,Business Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-16,4.0,-1.0,3.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-16,4.0,-1.0,1.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-16,4.0,-1.0,1.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-17,4.0,-1.0,4.0,8,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-20,5.0,-1.0,5.0,10,True,5.0,Business Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-21,4.0,-1.0,5.0,6,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-21,3.0,-1.0,4.0,8,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-22,5.0,-1.0,2.0,10,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-22,5.0,-1.0,5.0,8,True,1.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-22,4.0,-1.0,4.0,8,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-22,3.0,-1.0,1.0,5,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-22,3.0,-1.0,1.0,5,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-01-25,3.0,-1.0,3.0,6,True,3.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-28,1.0,-1.0,1.0,2,False,1.0,Economy Class,Not informed,1,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-28,1.0,-1.0,1.0,2,False,1.0,Economy Class,Not informed,1,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-28,1.0,-1.0,1.0,2,False,1.0,Economy Class,Not informed,1,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-28,5.0,-1.0,4.0,9,True,5.0,Business Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-28,3.0,-1.0,1.0,7,True,4.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-29,5.0,-1.0,5.0,7,True,3.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-29,3.0,-1.0,3.0,8,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-31,5.0,-1.0,4.0,9,True,5.0,First Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-01-31,5.0,-1.0,4.0,9,True,5.0,First Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-01-31,3.0,-1.0,3.0,7,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-03,5.0,-1.0,5.0,9,True,3.0,Business Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-02-03,3.0,-1.0,3.0,7,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-02-04,3.0,-1.0,3.0,1,False,1.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-02-04,3.0,-1.0,3.0,1,False,1.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-05,5.0,-1.0,5.0,9,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-05,3.0,-1.0,5.0,9,True,5.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-02-07,3.0,-1.0,5.0,2,False,1.0,Economy Class,Not informed,5,False,-1.0
