date,header,rating,content,seat_type,value_for_money,recommended,id,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,aircraft,type_of_traveller,route,date_flown,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2011-01-01,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,1,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-05,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,4.0,False,2,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-09,Aeroflot russian airlines customer review,4.0,Not informed,Economy Class,1.0,False,3,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-09,Aeroflot russian airlines customer review,10.0,Not informed,Economy Class,4.0,True,4,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-11,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,5,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-14,Aeroflot russian airlines customer review,-1.0,Not informed,Economy Class,1.0,False,6,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-19,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,7,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-21,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,8,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-22,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,9,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-01-23,Aeroflot russian airlines customer review,-1.0,Not informed,Economy Class,1.0,False,10,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-02-02,Aeroflot russian airlines customer review,7.0,Not informed,Business Class,4.0,True,11,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-02-06,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,False,12,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-02-11,Aeroflot russian airlines customer review,-1.0,Not informed,Economy Class,1.0,False,13,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-02-14,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,1.0,False,14,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
