date,header,rating,content,seat_type,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,value_for_money,recommended,id,aircraft,type_of_traveller,route,date_flown,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2013-01-22,China southern airlines customer review,7.0,Not informed,Economy Class,4.0,3.0,4.0,3.0,5.0,True,1,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-01-28,China southern airlines customer review,5.0,Not informed,Economy Class,1.0,3.0,3.0,-1.0,1.0,False,2,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-01-28,China southern airlines customer review,8.0,Not informed,Economy Class,4.0,4.0,5.0,3.0,5.0,True,3,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-01-31,China southern airlines customer review,7.0,Not informed,Premium Economy,4.0,3.0,4.0,2.0,4.0,True,4,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-04,China southern airlines customer review,8.0,Not informed,Economy Class,3.0,5.0,4.0,4.0,4.0,True,5,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-05,China southern airlines customer review,-1.0,Not informed,Economy Class,3.0,1.0,1.0,1.0,2.0,False,6,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-06,China southern airlines customer review,8.0,Not informed,Economy Class,4.0,5.0,4.0,4.0,4.0,True,7,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-07,China southern airlines customer review,-1.0,Not informed,Economy Class,3.0,1.0,1.0,1.0,1.0,False,8,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-14,China southern airlines customer review,9.0,Not informed,Business Class,4.0,5.0,4.0,3.0,5.0,True,9,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-14,China southern airlines customer review,8.0,Not informed,Economy Class,4.0,5.0,4.0,3.0,4.0,True,10,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-14,China southern airlines customer review,8.0,Not informed,Economy Class,4.0,5.0,3.0,3.0,4.0,True,11,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-25,China southern airlines customer review,8.0,Not informed,Economy Class,4.0,3.0,3.0,2.0,5.0,True,12,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-02-28,China southern airlines customer review,9.0,Not informed,Economy Class,4.0,5.0,5.0,4.0,5.0,True,13,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-04,China southern airlines customer review,8.0,Not informed,Economy Class,4.0,4.0,5.0,3.0,5.0,True,14,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-07,China southern airlines customer review,-1.0,Not informed,Business Class,5.0,3.0,5.0,4.0,2.0,False,15,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-07,China southern airlines customer review,7.0,Not informed,Premium Economy,4.0,4.0,4.0,1.0,5.0,True,16,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-18,China southern airlines customer review,8.0,Not informed,Business Class,5.0,4.0,4.0,4.0,4.0,True,17,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-21,China southern airlines customer review,9.0,Not informed,Economy Class,3.0,4.0,3.0,4.0,4.0,True,18,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-22,China southern airlines customer review,5.0,Not informed,Business Class,2.0,3.0,2.0,3.0,3.0,False,19,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-22,China southern airlines customer review,5.0,Not informed,Business Class,2.0,3.0,2.0,3.0,3.0,False,20,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-25,China southern airlines customer review,9.0,Not informed,Economy Class,4.0,5.0,5.0,4.0,5.0,True,21,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-25,China southern airlines customer review,9.0,Not informed,Economy Class,4.0,5.0,5.0,4.0,5.0,True,22,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-25,China southern airlines customer review,8.0,Not informed,First Class,4.0,4.0,4.0,-1.0,4.0,True,23,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-03-27,China southern airlines customer review,8.0,Not informed,Premium Economy,4.0,4.0,4.0,4.0,4.0,True,24,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-04-01,China southern airlines customer review,8.0,Not informed,First Class,1.0,5.0,4.0,3.0,4.0,True,25,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-04-02,China southern airlines customer review,7.0,Not informed,Economy Class,4.0,3.0,3.0,3.0,4.0,True,26,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-04-04,China southern airlines customer review,7.0,Not informed,Premium Economy,4.0,3.0,3.0,3.0,4.0,True,27,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
2013-04-04,China southern airlines customer review,7.0,Not informed,Premium Economy,4.0,3.0,3.0,3.0,4.0,True,28,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,China Southern Airlines,China,False
