date,header,rating,content,seat_type,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,value_for_money,recommended,id,aircraft,type_of_traveller,route,date_flown,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2014-01-06,Lufthansa customer review,9,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,1,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-07,Lufthansa customer review,10,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,2,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-07,Lufthansa customer review,10,Not informed,Business Class,1.0,1.0,1.0,1.0,1,True,3,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-07,Lufthansa customer review,9,Not informed,First Class,1.0,1.0,1.0,1.0,1,True,4,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-07,Lufthansa customer review,6,Not informed,First Class,1.0,1.0,1.0,1.0,1,True,5,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-07,Lufthansa customer review,10,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,6,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-08,Lufthansa customer review,7,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,7,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-08,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,8,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-08,Lufthansa customer review,7,Not informed,Business Class,1.0,1.0,1.0,1.0,1,True,9,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-08,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,10,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-09,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,11,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-09,Lufthansa customer review,10,Not informed,Business Class,1.0,1.0,1.0,1.0,1,True,12,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-10,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,13,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-13,Lufthansa customer review,9,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,14,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-13,Lufthansa customer review,10,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,15,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-13,Lufthansa customer review,10,Not informed,First Class,1.0,1.0,1.0,1.0,1,True,16,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-14,Lufthansa customer review,8,Not informed,Premium Economy,1.0,1.0,1.0,1.0,1,True,17,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-14,Lufthansa customer review,9,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,18,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-16,Lufthansa customer review,10,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,19,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-16,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,20,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-16,Lufthansa customer review,8,Not informed,Business Class,1.0,1.0,1.0,1.0,1,True,21,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-16,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,22,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-17,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,23,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-20,Lufthansa customer review,10,Not informed,Business Class,1.0,1.0,1.0,1.0,1,True,24,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-21,Lufthansa customer review,6,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,25,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-21,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,26,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-22,Lufthansa customer review,10,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,27,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-22,Lufthansa customer review,5,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,28,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-22,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,29,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-22,Lufthansa customer review,4,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,30,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-22,Lufthansa customer review,4,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,31,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-25,Lufthansa customer review,6,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,32,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-28,Lufthansa customer review,2,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,False,33,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-28,Lufthansa customer review,7,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,34,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-28,Lufthansa customer review,7,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,35,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-28,Lufthansa customer review,2,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,36,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-28,Lufthansa customer review,2,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,False,37,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-29,Lufthansa customer review,7,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,38,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-29,Lufthansa customer review,8,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,39,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-31,Lufthansa customer review,4,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,40,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-31,Lufthansa customer review,7,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,41,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-01-31,Lufthansa customer review,7,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,42,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-03,Lufthansa customer review,7,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,43,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-03,Lufthansa customer review,7,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,44,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-04,Lufthansa customer review,1,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,False,45,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-04,Lufthansa customer review,1,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,False,46,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-05,Lufthansa customer review,9,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,47,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-05,Lufthansa customer review,9,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,48,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-07,Lufthansa customer review,2,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,False,49,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-11,Lufthansa customer review,9,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,50,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-12,Lufthansa customer review,9,Not informed,Business Class,1.0,1.0,1.0,1.0,1,True,51,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-13,Lufthansa customer review,10,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,52,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-14,Lufthansa customer review,10,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,53,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-14,Lufthansa customer review,10,Not informed,Economy Class,1.0,1.0,1.0,1.0,1,True,54,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
2014-02-17,Lufthansa customer review,3,Not informed,Business Class,1.0,1.0,1.0,1.0,1,False,55,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Deutsche Lufthansa AG,Germany,False
