date,header,rating,content,seat_type,value_for_money,recommended,id,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,type_of_traveller,aircraft,route,date_flown,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2009-12-19,Indigo customer review,7.0,Not informed,Economy Class,1,True,1,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-03-19,Indigo customer review,8.0,Not informed,Economy Class,1,True,2,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-06-08,Indigo customer review,8.0,Not informed,Economy Class,1,True,3,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-06-29,Indigo customer review,9.0,Not informed,Economy Class,1,True,4,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-06-30,Indigo customer review,6.0,Not informed,Economy Class,1,True,5,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-07-04,Indigo customer review,8.0,Not informed,Economy Class,1,True,6,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-07-21,Indigo customer review,9.0,Not informed,Economy Class,1,True,7,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-08-17,Indigo customer review,8.0,Not informed,Economy Class,1,True,8,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-09-07,Indigo customer review,9.0,Not informed,Economy Class,1,True,9,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2010-10-08,Indigo customer review,10.0,Not informed,Economy Class,1,True,10,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
