date,header,rating,content,seat_type,value_for_money,recommended,id,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,aircraft,type_of_traveller,route,date_flown,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2009-12-07,Japan airlines customer review,6.0,Not informed,Economy Class,1,True,1,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2009-12-09,Japan airlines customer review,6.0,Not informed,Economy Class,1,True,2,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2009-12-14,Japan airlines customer review,4.0,Not informed,Economy Class,1,False,3,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2009-12-26,Japan airlines customer review,9.0,Not informed,Economy Class,1,True,4,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-01-12,Japan airlines customer review,6.0,Not informed,Economy Class,1,False,5,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-02-17,Japan airlines customer review,9.0,Not informed,Economy Class,1,True,6,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-03-06,Japan airlines customer review,8.0,Not informed,Business Class,1,True,7,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-03-12,Japan airlines customer review,10.0,Not informed,First Class,1,True,8,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-03-28,Japan airlines customer review,9.0,Not informed,Business Class,1,True,9,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-03-29,Japan airlines customer review,5.0,Not informed,Business Class,1,False,10,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-08-18,Japan airlines customer review,6.0,Not informed,Economy Class,1,True,11,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-08-21,Japan airlines customer review,7.0,Not informed,Economy Class,1,True,12,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-09-10,Japan airlines customer review,3.0,Not informed,Economy Class,1,False,13,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-09-19,Japan airlines customer review,8.0,Not informed,Business Class,1,True,14,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-10-10,Japan airlines customer review,8.0,Not informed,Premium Economy,1,True,15,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-10-26,Japan airlines customer review,5.0,Not informed,Economy Class,1,False,16,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-10-27,Japan airlines customer review,7.0,Not informed,Economy Class,1,True,17,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-10-27,Japan airlines customer review,6.0,Not informed,Economy Class,1,False,18,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-11-03,Japan airlines customer review,7.0,Not informed,Business Class,1,True,19,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2010-11-07,Japan airlines customer review,9.0,Not informed,Economy Class,1,True,20,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2011-01-07,Japan airlines customer review,6.0,Not informed,Economy Class,1,True,21,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2011-01-26,Japan airlines customer review,9.0,Not informed,Business Class,1,True,22,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2011-02-07,Japan airlines customer review,10.0,Not informed,Economy Class,1,True,23,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2011-02-18,Japan airlines customer review,6.0,Not informed,Business Class,1,True,24,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2011-03-05,Japan airlines customer review,6.0,Not informed,Economy Class,1,True,25,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2011-03-06,Japan airlines customer review,9.0,Not informed,Economy Class,1,True,26,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
2011-03-08,Japan airlines customer review,6.0,Not informed,Business Class,1,False,27,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Japan Airlines,Japan,False
