date,header,rating,content,seat_type,seat_comfort,cabin_staff_service,food_&_beverages,value_for_money,recommended,id,type_of_traveller,route,date_flown,inflight_entertainment,aircraft,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2012-08-23,Ryanair customer review,2.0,Not informed,Economy Class,1.0,2.0,-1.0,1.0,False,1,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-08-28,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,2.0,False,2,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-08-28,Ryanair customer review,1.0,Not informed,Economy Class,3.0,2.0,-1.0,1.0,False,3,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-08-28,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,2.0,False,4,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-08-28,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,2.0,False,5,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-08-29,Ryanair customer review,10.0,Not informed,Economy Class,4.0,3.0,2.0,5.0,True,6,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-08-29,Ryanair customer review,2.0,Not informed,Economy Class,3.0,3.0,-1.0,2.0,False,7,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-08-29,Ryanair customer review,1.0,Not informed,Economy Class,3.0,1.0,1.0,1.0,False,8,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-03,Ryanair customer review,1.0,Not informed,Economy Class,2.0,2.0,2.0,1.0,False,9,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-03,Ryanair customer review,1.0,Not informed,Economy Class,2.0,2.0,2.0,1.0,False,10,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-03,Ryanair customer review,1.0,Not informed,Economy Class,2.0,1.0,3.0,1.0,False,11,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-03,Ryanair customer review,6.0,Not informed,Economy Class,3.0,2.0,-1.0,3.0,False,12,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-03,Ryanair customer review,1.0,Not informed,Economy Class,2.0,2.0,2.0,1.0,False,13,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-03,Ryanair customer review,7.0,Not informed,Economy Class,4.0,4.0,1.0,4.0,True,14,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-03,Ryanair customer review,8.0,Not informed,Economy Class,4.0,3.0,3.0,4.0,True,15,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
