date,header,rating,content,seat_type,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,value_for_money,recommended,id,type_of_traveller,route,date_flown,aircraft,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2013-08-27,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,1,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-08-27,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,2,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-08-28,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,3,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-02,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,4,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-03,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,5,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-09,Turkish airlines customer review,5.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,Not informed,False,6,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-12,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,7,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-12,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,8,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-12,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,9,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-15,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,10,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-16,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,11,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-17,Turkish airlines customer review,1.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,12,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-17,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,13,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-17,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,14,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-19,Turkish airlines customer review,Not informed,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,15,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-24,Turkish airlines customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,16,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-29,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,17,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-09-29,Turkish airlines customer review,1.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,18,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-01,Turkish airlines customer review,7.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,19,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-02,Turkish airlines customer review,8.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,20,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-03,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,21,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-03,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,22,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-03,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,23,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-07,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,Not informed,1.0,True,24,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-07,Turkish airlines customer review,7.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,25,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-09,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,26,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
