date,header,rating,content,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Recommended,id,Aircraft,Type Of Traveller,Route,Date Flown,Ground Service,Wifi & Connectivity,airline_name,country
2013-01-22,China Southern Airlines customer review,7,London Heathrow to Melbourne via Guangzhou. Leg from London to China was on a new plane with seat back screens attentive and helpful staff. The meals are bizarre - my favourite was the meal of hot spicy beef noodles served with croissant and jam. Leg between China and Melbourne is a much older plane with TV screens showing the same 2 films on loop. Staff on this leg were much more abrupt and less eager to help. Loo's got very horrible on this leg. The seat comfort and size (economy) were same as any other long haul cattle class. For the price we were expecting far worse but to save a pound or two (or three hundred in fact) this was not a bad experience.,Economy Class,4,3,4,3,5,yes,1,,,,,,,China Southern Airlines,China
2013-01-28,China Southern Airlines customer review,5,Flight from Melbourne to Guangzhou China had no TV an older plane and bad leg room. Transfer to Paris with same airline had newer planes with TV comfortable seat and better leg room. Likewise on the way back. Beside the airline I will never do a stop over through China at any cost.,Economy Class,1,3,3,N/A,1,no,2,,,,,,,China Southern Airlines,China
2013-01-28,China Southern Airlines customer review,8,Melbourne to Dhaka via Guangzhou (return). Have flown to Bangladesh on every possible airline but China Southern is my new favourite. Pleasantly surprised by all aspects - service food etc and $500 cheaper than the others. By far best connections too (2hrs outbound 3 hrs return).,Economy Class,4,4,5,3,5,yes,3,,,,,,,China Southern Airlines,China
2013-01-31,China Southern Airlines customer review,7,SYD-CAN-CDG return January 2013. Flew Premium economy and you get what you paid for. These flights were $800 per person less than QF economy. CZ websites states you will get 40% additional leg room which was true. Superior cabin service (noise cancelling headsets blanket pillow fruit and premium wines was false. Superior Amenity Kit - true exclusive check in - true extra baggage allowance - true. Entertainment SYD-CAN-SYD - no entertainment on A330-200. CAN-CDG-CAN - on demand good choice and family friendly A330-300. Meals - Plentiful and filling and better than most. Premium Cabin was half full and before take off we spread out we had extra leg room and 2 seats each on 3/4 of the legs.,Premium Economy,4,3,4,2,4,yes,4,,,,,,,China Southern Airlines,China
2013-02-04,China Southern Airlines customer review,8,1-15-13 SHA-SWA Economy. The flight was on time and full. Flight attendants were very friendly and courteous. They even acknowledged the Elite Plus Members by bringing them water in economy. Food served was hot and tasty. Showed a movie in English with subtitles. Even thought it was an outdated aircraft the attendants made up for that.,Economy Class,3,5,4,4,4,yes,5,,,,,,,China Southern Airlines,China
2013-02-05,China Southern Airlines customer review,,Travelled twice in 4 months with family of 4 from SYD-LHR return due to sick relatives. Chose China Southern purely on cost. Terrible both times never again! Staff surly and unhelpful. Very poor English spoken in economy class service. Inflight entertainment SYD-Guangzhou - no individual screens. Very poor choice of non Asian movies on China-UK legs. Food inedible practically thrown at passengers often no choice available. Service very brusque collected trays a few minutes after giving them out. Even beverages were awful - soft drinks from large bottles warm and no ice available. Very little alcohol tiny glass of wine. Flight from SYD- Guangzhou arrives very early morning in China around 6 am. Terminal very cold with rats running around under the seats! Toilets very dirty and smelt. Very difficult to find out how much in advance for additional bag.,Economy Class,3,1,1,1,2,no,6,,,,,,,China Southern Airlines,China
2013-02-06,China Southern Airlines customer review,8,1-18-13 SWA to HKG. I have never had a problem taking China Southern. Attendants are friendly courteous and always helping passengers as most of those that fly CZ seem to be first time fliers. As a DL Platinum member I am able to board early. Stow the luggage get my book and sit back and watch the calamity. Passengers even though given a boarding card for a seat choose where ever they like. As the flight fills up those passengers seated in the wrong seats refuse to get up and give the seat to the passenger assigned. Shouting matches shoving and rude gestures usually follow and the calamity goes on. The flight attendants have their hands full and do the best they can. Flights are on time food served is decent drinks are fine and the AVOD on in country flights is usually in English with Subtitles. Attach your noise cancelling head phones and drift off. Pricing is right and the service level is fine.,Economy Class,4,5,4,4,4,yes,7,,,,,,,China Southern Airlines,China
2013-02-07,China Southern Airlines customer review,,We travelled from Vancouver Canada to Hanoi Vietnam and back from Phnom Penh Cambodia to Vancouver in January/February 2013 both in transit through Guangzhou. The portions to and from Vietnam/Cambodia from Guangzhou weren't too bad but the flights from Guangzhou from/to Vancouver BC were terrible just like the previous poster Mary Martin said to and from SYD. The attitude of the air hostesses on these routes have to be improved! They practically threw the food tray at passengers.,Economy Class,3,1,1,1,1,no,8,,,,,,,China Southern Airlines,China
2013-02-14,China Southern Airlines customer review,9,LHR-CAN-MEL. The Skyteam lounge at T4 was uncrowded and the food available (at 1900) exemplary. Not too sure this would be the case at KLM/AF rush hour though. A330 Business seats are fully flat to CAN and the meals are excellent. Service albeit with language difficulties were friendly and helpful. The problem arises at Guangzhou if you are in transit. One has to enter China in Immigration terms which can be a lengthy process. They must have lessons on this from Miami Airport where I will never ever transit again. If you are in Business the Ground staff ensure you are met on arrival of the aircraft and shepherd you though to the Business Lounge. Next sector to Melbourne same aircraft but slide flat seats the service level and meals still fine. Media ok if you like Hollywood blockbusters I just slept all the way.,Business Class,4,5,4,3,5,yes,9,,,,,,,China Southern Airlines,China
2013-02-14,China Southern Airlines customer review,8,18 December 2012 Amsterdam to Shanghai. I fly frequently with China Southern. The price is always good and the flights are on time. Attendants are polite. Although I was bit late for boarding they gave me very good guidance in the cabin. Since the overhead bin was full around my seat they helped me put my hand luggage in their special overhead bins and let me know where they put it after the takeoff. The attendants walked around offering drinks and helping with blankets while most passengers slept. The inflight entertainment system was not that good in comparison. The movies are not up-to-date. For such a long flight I think the entertainment system is important. I recommend China Southern for its value of money and good service from attendants.,Economy Class,4,5,4,3,4,yes,10,,,,,,,China Southern Airlines,China
