date,header,rating,content,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Recommended,id,Aircraft,Type Of Traveller,Route,Date Flown,Ground Service,Wifi & Connectivity,airline_name,country
2014-01-06,Lufthansa customer review,9,FRA-DXB return flight. Very good service on the way out. Good flight nice crew very uneventful. On the way back almost as good. The 747 landed in heavy clouds and didn't feel a thing. Entertainment is ok but not at the level of say Air Canada. On the way back I asked for lactose-free meal and got one that was pretty good. A great airline and a great experience.,Economy Class,4,4,4,4,4,yes,1,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-07,Lufthansa customer review,10,Dusseldorf-Kiev return. Depart Düsseldorf Jan 1 2014 LH 3004. Return Kiev Jan 5 2014 LH 3005. Both flights on time service on board and catering very good. No inflight entertainment.,Economy Class,5,5,5,1,5,yes,2,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-07,Lufthansa customer review,10,Dusseldorf-Kiev return. Depart Düsseldorf Jan 1 2014 LH 3004. Return Kiev Jan 5 2014 LH 3005. Both flights on time service on board and catering very good. No inflight entertainment.,Economy Class,5,5,5,1,5,yes,3,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-07,Lufthansa customer review,6,LH 419 from IAD to FRA. The lounge in IAD is less than average for First Class. The first Class seats are good and LH provides a heavy mattress and bedding to sleep. However LH has a policy of keeping the cabin at 23 deg C which is just too warm to sleep with all the heavy blankets I wish they would cool their cabin to a normal temp. The food was ok but certainly not great. The service from the flight staff was excellent. Finding my connection in Frankfurt was quite difficult and took quite a while to find the first class lounge.,First Class,3,4,3,2,3,yes,4,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-07,Lufthansa customer review,6,LH 419 from IAD to FRA. The lounge in IAD is less than average for First Class. The first Class seats are good and LH provides a heavy mattress and bedding to sleep. However LH has a policy of keeping the cabin at 23 deg C which is just too warm to sleep with all the heavy blankets I wish they would cool their cabin to a normal temp. The food was ok but certainly not great. The service from the flight staff was excellent. Finding my connection in Frankfurt was quite difficult and took quite a while to find the first class lounge.,First Class,3,4,3,2,3,yes,5,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-07,Lufthansa customer review,10,DEL-FRA-SZB in Business. Check-in was easy the new lounge in Delhi has sufficient space free wifi and pretty good snacks and drinks. On board the lie-flat seats on the 747-800 were very comfortable and I had a good sleep. Flight was on-time and the breakfast before landing was very tasty (I had the Indian breakfast).,Business Class,5,5,5,4,4,yes,6,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-08,Lufthansa customer review,10,BKK-FRA-BKK. LH 783 18 Dec BKK-FRA. LH 772 2 Jan FRA-BKK. Lufthansa continues to have fantastic economy service. The air hostesses tend to be older than other airlines but their experience shows in the brilliant service given. The attendants are helpful and they also have free coffee/tea etc in their Munich airport area which is a big bonus. The food is similar to others in the same category. You can even order cocktails on long haul flights and they even serve with a smile. My personal opinion is that elder stewardesses or stewards can give better service than younger ones. Seat is hard and small inflight entertainment is good with choices of quite contemporary film material. We wish there were more toilets.,Economy Class,3,4,4,5,4,yes,7,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-08,Lufthansa customer review,7,IAD-FRA on B747-8 and FRA-IAH A380. Both flights were good. Friendliness in Business is much better than Economy. Good food and Service on both legs. Lounge in IAD with separate access gate to the plane is a plus. The new Business on the B747-8 let the old one on the A380 feel really outdated. It was hard to get a seat in the Z-Gate Business Lounge in FRA.,Business Class,2,4,4,4,2,yes,8,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-08,Lufthansa customer review,8,LH 456 on January 4 2014. The flight from FRA to LAX was delayed 2 hours at take off due to first a technical problem and second an ill passenger whose luggage had to be removed from the airplane. At arrival the plane was only one hour late because of a higher cruising speed the plane was rather new (747-8) and comfortable the food was good - quite a positive surprise on a trans-atlantic flight. Only the cabin temperature was unpleasantly low - and this is rather frequently found in LH long distance flights.,Economy Class,5,5,5,5,4,yes,9,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-08,Lufthansa customer review,8,LH 456 on January 4 2014. The flight from FRA to LAX was delayed 2 hours at take off due to first a technical problem and second an ill passenger whose luggage had to be removed from the airplane. At arrival the plane was only one hour late because of a higher cruising speed the plane was rather new (747-8) and comfortable the food was good - quite a positive surprise on a trans-atlantic flight. Only the cabin temperature was unpleasantly low - and this is rather frequently found in LH long distance flights.,Economy Class,5,5,5,5,4,yes,10,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-09,Lufthansa customer review,10,"Flight LH434 from Munich to Chicago was a real pleasure. Smooth ride and super crew - friendly and professional. I could feel that customer satisfaction was the utmost priority and that the team was ready to fulfil all requests even if out of the ""standard protocol"".",Business Class,4,5,4,4,5,yes,11,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-09,Lufthansa customer review,10,"Flight LH434 from Munich to Chicago was a real pleasure. Smooth ride and super crew - friendly and professional. I could feel that customer satisfaction was the utmost priority and that the team was ready to fulfil all requests even if out of the ""standard protocol"".",Business Class,4,5,4,4,5,yes,12,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-10,Lufthansa customer review,8,VCE-FRA-AMS on 28 December 2013 and then AMS-FRA-VCE on 3 January 2014. Flights were all nice and all on time on comfortable A321 and A319. It didn't make sense that they gave us food on 16:35 pm flight to AMS and not on 12:45 pm flight to FRA but this is just an insignificant detail. Staff was good and smiling and flight experience was good too. I recommend Lufthansa.,Economy Class,5,5,3,1,4,yes,13,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-13,Lufthansa customer review,9,Flight 490 from Frankfurt / Germany to Seattle / WA on January 6 2014. Very punctual smooth flight. On board service very good. Temperature in plane too low. Entertainment programme and internet service excellent. Digital flight information very good. Meal service fine except for oversight to remove moist cloth and empty cups/cans before serving dinner. Overall impression very good.,Economy Class,3,4,4,5,5,yes,14,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-13,Lufthansa customer review,10,30 December 2013 Paris to Tbilisi via Munich LH2237 and LH2556. 8 January 2014 Tbilisi to Paris via Munich LH2557 and LH2230. Check-in was easy and pleasant with brilliant ground staff in Tbilisi. On board cabin crew were polite and hard working especially on the MUC-TBS leg on 30 December. Hot food was served in MUC-TBS-MUC segments and it was very tasty both times. Lufthansa and Turkish are recommended airlines for travelers to Tbilisi.,Economy Class,5,5,5,1,5,yes,15,,,,,,,Deutsche Lufthansa AG,Germany
