date,header,rating,content,Seat Type,Value For Money,Recommended,id,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Type Of Traveller,Aircraft,Route,Date Flown,Ground Service,Wifi & Connectivity,airline_name,country
2009-12-19,IndiGo customer review,7,DEL-PNQ. Flight on time. Nice and clean aircraft. Wide range of snacks available for purchase though rates were exorbitant. The only negative point would be air hostesses being less interactive and involved.,Economy Class,4,yes,1,,,,,,,,,,,IndiGo,India
2010-03-19,IndiGo customer review,8,BLR-BOM on the early morning flight. Cabin was clean. FAs attentive and courteous. We had pre-booked snacks and served a good Veg Sandwich and juice. Quite good. Other choices too were available.,Economy Class,4,yes,2,,,,,,,,,,,IndiGo,India
2010-06-08,IndiGo customer review,8,BDQ-HYD via BOM. The check-in at Vadodara was smooth though they did not give me through check in to Hyderabad. I had to claim my luggage and re-check in at Mumbai but it was smooth. Ground staff courteous and efficient. Aircraft clean cabin crew efficient and courteous. Boarding at Mumbai was chaotic. Overall not bad at all.,Economy Class,4,yes,3,,,,,,,,,,,IndiGo,India
2010-06-29,IndiGo customer review,9,DEL-CCU-DEL. Full flight outbound but seated in front row which was good. No queues at checkin nice crew cheerful and professional. Flight left on time and landed early - baggage was off within a few minutes wait. Coming back slightly less good check in experience - at airport several hours early after arriving in international - wouldn't let us check in until 2 hours before departure. When asked for front row seats were told we'd have to pay - got it free on outbound guess I was lucky! Flight crew again cheerful and attentive. Flight was early again bags took about 20 mins but that's par for the course in Delhi. Inflight food not paid and ok value for money.,Economy Class,4,yes,4,,,,,,,,,,,IndiGo,India
2010-06-30,IndiGo customer review,6,Kolkata-Jaipur route on time clean aircraft and nice crew. One bad thing about this airline is that they do not even serve water at free. Snacks were expensive outside foods are allowed.,Economy Class,4,yes,5,,,,,,,,,,,IndiGo,India
2010-07-04,IndiGo customer review,8,Kolkata to Guwahati and Kolkata to Bangalore. Check-in okay not too friendly. Aircraft were new so cabins kept clean. Seats okay. Cabin crew better than ground crew. Cheap tickets. The only complaint is that the food is expensive - INR 150 for chicken sandwich is too much considering it's just a 2 piece sandwich which you can get for INR 50 at super-markets. The great thing about IndiGo is the on-time performance.,Economy Class,4,yes,6,,,,,,,,,,,IndiGo,India
2010-07-21,IndiGo customer review,9,Bangalore to Mumbai good quality from this budget airline. Flight on time leg room good and boarding a breeze. I will use IndiGo Airlines as it is value for money.,Economy Class,4,yes,7,,,,,,,,,,,IndiGo,India
2010-08-17,IndiGo customer review,8,Pune to Nagpur return. Smooth efficient check in. Flight 80 minutes with breakfast you can buy onboard. Due to turbulence the cart never got to where we were. Staff very pleasant. Return trip late evening flight. Delayed by 45 mins but managed to do a quick turn around and got us to Pune on time.,Economy Class,4,yes,8,,,,,,,,,,,IndiGo,India
2010-09-07,IndiGo customer review,9,DEL-CCU-DEL NAG-DEL a few times and happy to take IndiGo. The seat pitch makes me feel a little cramped at times but otherwise is excellent. The crew is courteous and always ready to help.,Economy Class,4,yes,9,,,,,,,,,,,IndiGo,India
2010-10-08,IndiGo customer review,10,MUM-DEL. Excellent service - paid Rs300 for the front row which if you're my size is worth it! Inflight food is on a pay basis nothing special but it's good size portions and not bonkers expensive. Great inflight crew cheerful and engaging brand new planes. My first choice now for domestic Indian flights.,Economy Class,4,yes,10,,,,,,,,,,,IndiGo,India
2010-12-30,IndiGo customer review,10,Return flights from Goa to Delhi the experience was enjoyable with efficient checking in friendly and polite cabin crew and new air planes.,Economy Class,4,yes,11,,,,,,,,,,,IndiGo,India
2011-01-24,IndiGo customer review,9,Return flights from Goa to Delhi the experience was enjoyable with efficient checking in DEL-BOM. An efficient airline which prides itself at being on time with helpful air and ground crews. New clean aircraft - just one grouse though a low cost carrier it would be great if the leg space was better. I am about 6 feet tall and it becomes uncomfortable in case of flights which are over an hour or so.,Economy Class,4,yes,12,,,,,,,,,,,IndiGo,India
2011-02-04,IndiGo customer review,9,Connection at Madras to Hyderabad (coming from US) and back to Madras connecting to US. Both trips an hour long each. Ground Staff helpful at both ends cabin crew charming and helpful. A320 clean and comfortable ample room in overhead bins. Remembering yester-years of Indian Airlines service attitude it is amazing what the open market brought to traveling Indian public.,Economy Class,4,yes,13,,,,,,,,,,,IndiGo,India
2011-02-17,IndiGo customer review,8,Bombay-Jaipur return Pune-Nagpur. Easy check in and nice friendly staff in Bombay. On the return (Jaipur to Bombay) we were asked to carry no hand baggage onboard as it was a high security day. The airline could have informed us earlier as had breakable stuff in my hand baggage and they forced me to check it in. Pune to Nagpur efficient and competent crew.,Economy Class,4,yes,14,,,,,,,,,,,IndiGo,India
2011-06-23,IndiGo customer review,10,BLR-DEL return trip. Had a good experience yet again. The flights took had a timely pushback. Onward journey a bit delayed due to bad weather at BLR and the pilot had to change the takeoff runaway direction. Crew courteous and got my pre booked food. Return journey was uneventful as well. Will surely continue flying Indigo.,Economy Class,4,yes,15,,,,,,,,,,,IndiGo,India
2011-09-30,IndiGo customer review,8,Mumbai-Bangalore. Flight on time great service from airport check-in to end stage. Well planned and executed model for passenger satisfaction. Taken to the aircraft by bus this afternoon flight was full yet the flight attendants were calm and courteous. They worked seamlessly with an almost natural smile. Aircraft clean. Onboard options for food were plenty though slightly pricey.,Economy Class,4,yes,16,,,,,,,,,,,IndiGo,India
2011-11-18,IndiGo customer review,8,Kolkata to Hyderabad. Check-in staff pleasant. Cabin crew professional and courteous. Aircraft clean but seats very tight. For a 2-hour flight the low price was more important than seat comfort.,Economy Class,4,yes,17,,,,,,,,,,,IndiGo,India
2011-12-14,IndiGo customer review,8,Did BOM-MAA once and doing my second today. Great crew. Very helpful at check-in. Courteous onboard and new aircraft's. Only hitch is food. While ticket rates are on par with Jet and AI particularly after KF problems one has to buy food and that too from a limited choice. Pre-booking is there but the website does not guide as to how.,Economy Class,4,yes,18,,,,,,,,,,,IndiGo,India
2011-12-28,IndiGo customer review,8,DEL-BKK on newly introduced international service by Indigo. Clean aircraft everything BOB on time and professional crew. Not very different from domestic services the only difference that food is priced in USD. The highlight was great value fare booked well in advance.,Economy Class,4,yes,19,,,,,,,,,,,IndiGo,India
2012-01-05,IndiGo customer review,9,BBI-DEL. Flight slightly delayed due to late departure at Delhi. Seated next to the exit no recline for the seat and the other passenger behind! Aircraft was clean although some parts broken. There were huge selections of snacks and beverages. Although the water comes in such a tiny glass you have to pay for it. Cabin Crew friendly and with a natural smile. Overall this airline is professional.,Economy Class,4,yes,20,,,,,,,,,,,IndiGo,India
2012-01-05,IndiGo customer review,7,BOM-DEL-BOM. Boarding was swift and passengers greeted by friendly cabin crew. The flight left on time and the service friendly with enough information was given by FA's. The flight on second leg was one hour late and IndiGo did manage to reach out passengers by sending SMS. Again friendly crew and clear information from FA's. The only downside is the food could be tastier. The food sold inflight has absolute no value of money and leg space is poor for an 188 cm man. I had to fit in and sit in slanting positing.,Economy Class,4,yes,21,,,,,,,,,,,IndiGo,India
2012-01-28,IndiGo customer review,3,"Airline staff at Ahmedabad were unprofessional and non-committal. Flight to Bangalore from Ahmedabad scheduled at 5 pm was delayed more than 3 hours and the behaviour of ground staff was irresponsible. As the expected time neared and no trace of the aircraft was seen the answer I got from ground staff was ""we don't know"". Arrival at Bangalore airport was chaotic. It took ground staff more than 40 minutes to put the baggage on the carrousel. Passengers arriving on other airlines were exiting the terminal before our baggage was even on the carrousel. Indigo was my preferred airline until my previous trip - a very steep deterioration in quality.",Economy Class,1,no,22,,,,,,,,,,,IndiGo,India
2012-02-06,IndiGo customer review,9,Kolkata-Chennai-Pune leg. The airline offers a very good product with excellent staff to go with it. The aircraft is well-maintained and the staff know what they are offering. They are a low-cost carrier however they don't cut corners on security and service.,Economy Class,4,yes,23,,,,,,,,,,,IndiGo,India
2012-02-28,IndiGo customer review,9,BKK-BOM-BKK. Friendly crew. Check-in both in BKK and BOM easy. Food onboard was very expensive compared to Air Asia. I always carry snacks. Water free. Plane 2/3 full. Everything was so hassle-free that I have already booked two more flights on this route for May and October at the same price.,Economy Class,4,yes,24,,,,,,,,,,,IndiGo,India
2012-03-02,IndiGo customer review,8,Flew from Mumbai to Chennai on February 23rd 2012. Enjoyed the experience and was impressed with the service and the inflight magazine.,Economy Class,4,yes,25,,,,,,,,,,,IndiGo,India
2012-03-09,IndiGo customer review,,SIN-DEL The flight was awful. I asked for an exit row seat and got the seat in front of exit row which did not recline. Had to sit upright for 6 hours. Babies hollering and crying everywhere. No food or drink unless you buy - they should at least serve a sandwich on an international flight - what does it cost? 50 cents?,Economy Class,1,no,26,,,,,,,,,,,IndiGo,India
2012-03-09,IndiGo customer review,,SIN-DEL The flight was awful. I asked for an exit row seat and got the seat in front of exit row which did not recline. Had to sit upright for 6 hours. Babies hollering and crying everywhere. No food or drink unless you buy - they should at least serve a sandwich on an international flight - what does it cost? 50 cents?,Economy Class,1,no,27,,,,,,,,,,,IndiGo,India
2012-04-04,IndiGo customer review,2,BOM-LKO. Flew on Indigo thrice and all 3 flights were delayed. Paid extra to book seat of choice and meal. Check-in staff extremely rude and unfriendly. Cabin was not as clean as they rave about. Inflight cabin service without a smile. Only cold meals served. They also charge for wheelchairs with fares comparable to full service carriers. Not my choice and not recommended. Very pricey for a 'low cost airline'.,Economy Class,1,no,28,,,,,,,,,,,IndiGo,India
2012-04-29,IndiGo customer review,9,Bangalore to Delhi return. Ground staff and cabin crew were friendly and efficient. The planes used also were new clean and comfortable. The food too was pretty good. However it is better that they sell at least a water bottle. Although they do sell water they provide it in paper cups and every time I had to pay Rs 40.,Economy Class,4,yes,29,,,,,,,,,,,IndiGo,India
2012-05-30,IndiGo customer review,5,Bangkok-Delhi. Plane was new though no inflight entertainment which most of them have. No food or beverage unless you buy. For a flight of 4.30 hours strange thing. A cup of premixed tea cost 100 THB (INR 170.00).,Economy Class,1,no,30,,,,,,,,,,,IndiGo,India
2012-07-15,IndiGo customer review,7,"MAA-HYD. The crews are friendly the airplanes clean they still run a largely on-time operation and prices remain very affordable. The bad news is the pains associated with flying ""ultra low cost carriers"" are now beginning to inflict the airline. Seat selection was free the last time I flew them a couple of years ago but now they charge Rs. 100 per passenger. They also charge Rs. 50 to get a copy of your e-ticket at the airport. Neither one of those really bother me though. What does bother me is the bogus Rs. 200 ""convenience fee"" that you now have to pay to book online a fee that isn't disclosed until you get to the very last screen before payment. Even worse if you have to make a change to your reservation the ""convenience fee"" is charged every time you make a change. IndiGo is unfortunately picking up the bad habits of the Spirits and Ryanairs of the world though at least the service is very good for now anyway.",Economy Class,4,yes,31,,,,,,,,,,,IndiGo,India
2012-08-06,IndiGo customer review,3,Dehli-Kathmandu-Dehli. Unfriendly staff they ask you to be at the airport 4 hours before departure for international flights and 2 hours for domestic flights. Arrived 3.5 hours early as anticipated no check-in counter was open. Nevertheless the plane seemed to be quite new and comfortable.,Economy Class,1,no,32,,,,,,,,,,,IndiGo,India
2012-08-07,IndiGo customer review,10,Goa to Mumbai on Sunday 5-8-2012. On time and welcomed by smiling crew. The plane was spotless and new. The food was reasonably priced and good. Short flight of 55 minutes. At the end the Pilot came out of the cabin to say goodbye to everybody.,Economy Class,4,yes,33,,,,,,,,,,,IndiGo,India
2012-08-08,IndiGo customer review,7,Overall a good experience from HYD-BLR-HYD and HYD-DEL. Planes are new and modern crew all young pleasant and helpful and speak perfect English. Seating is very tight - the person in from of me reclined their seat and it was in my face. They sell food which is tasty and well priced. One major negative as at check in at HYD. My company bought my ticket in the US and they asked me to produce the credit card. As I could not they denied me boarding until I bought another ticket which was very frustrating and almost caused me to miss the flight. They gave me an email print out for a refund but this is certainly not up to international standards.,Economy Class,4,yes,34,,,,,,,,,,,IndiGo,India
2012-09-05,IndiGo customer review,8,DEL-COK-DEL. Excellent flight both flights on time as we had pre-booked meals and seats check-in was a breeze. Overall highly recommended as a premium low cost carrier.,Economy Class,4,yes,35,,,,,,,,,,,IndiGo,India
2012-09-05,IndiGo customer review,8,DEL-COK-DEL. Excellent flight both flights on time as we had pre-booked meals and seats check-in was a breeze. Overall highly recommended as a premium low cost carrier.,Economy Class,4,yes,36,,,,,,,,,,,IndiGo,India
2012-09-30,IndiGo customer review,9,Ahmedabad to Pune on Indigo. Check in was easy fast and efficient. Clean plane with good service and a very friendly crew. On time and value for money.,Economy Class,4,yes,37,,,,,,,,,,,IndiGo,India
2012-10-17,IndiGo customer review,9,BOM-BDQ on A320. Check-in was not as efficient as I have know Indigo to have. But it was not a problem. We were kept waiting for take-off due to congestion but flight itself was pretty standard efficient Indigo. The chief FA seemed rushed while making announcements.,Economy Class,5,yes,38,4,4,N/A,N/A,,,,,,,IndiGo,India
2012-10-24,IndiGo customer review,10,"COK-BOM. Check in at Cochin a breeze no queue at all. A320 was clean and modern. The flight attendants were active and friendly. on and arrived on time. In Mumbai the bags were out in ten minutes. Indigo made flying fun from Cabin Crew with their Leading Lady and Miss Indigo badges the aircraft steps had painted on the side ""Here comes the hot stepper"". The sandwiches to purchase in a box that said ""airwich"" even the cashew nuts came in a collectable tin which said ""Nut Case"" on it.",Economy Class,5,yes,39,5,5,5,N/A,,,,,,,IndiGo,India
