date,header,rating,content,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Recommended,id,Type Of Traveller,Route,Date Flown,Aircraft,Ground Service,Wifi & Connectivity,airline_name,country
2013-08-27,Turkish Airlines customer review,9,I had an excellent team of cabin crew on TK1053 to Zagreb on the 21st of August. They were really friendly and warm during the flight. The cold sandwich plus cheese and crackers on 2 hours flight was practical and the portion was good too. The drinks selection was impressive. In general cabin and toilets were in a good condition when knowing it was an older version of an Airbus A320. Keep it up TK.,Economy Class,1,1,1,1,1,yes,1,,,,,,,Turkish Airlines,Turkey
2013-08-27,Turkish Airlines customer review,9,I had an excellent team of cabin crew on TK1053 to Zagreb on the 21st of August. They were really friendly and warm during the flight. The cold sandwich plus cheese and crackers on 2 hours flight was practical and the portion was good too. The drinks selection was impressive. In general cabin and toilets were in a good condition when knowing it was an older version of an Airbus A320. Keep it up TK.,Economy Class,1,1,1,1,1,yes,2,,,,,,,Turkish Airlines,Turkey
2013-08-28,Turkish Airlines customer review,8,Singapore to Dublin via Istanbul and return Dublin to Singapore also via Istanbul. Appreciate the night kit that they provide on the overnight flight from Istanbul to Singapore. It was in a metal box which is sort of nice and could be a collector's item. First time that I had received such a nice night kit for an overnight flight. Food was good. IFE was reasonably good though films are not the latest. Cabin crew was kept busy as their flights are full on all the four sectors. Turkish Airlines must be doing something right to be attracting some many customers. A consequence of the full flight was the toilets were not cleaned and one was choked throughout the flight back to Singapore without anyone clearing it. Overall a nice experience with THY.,Economy Class,1,1,1,1,1,yes,3,,,,,,,Turkish Airlines,Turkey
2013-09-02,Turkish Airlines customer review,9,Istanbul - Odessa. Flight was full but left and landed on time. Cabin crew were good and managed to serve a reasonable meal on this short flight. I have no hesitation in flying Turkish Airlines as the planes are fairly new and seats are comfortable. There was no inflight entertainment and the English spoken by the crew easy to understand.,Economy Class,1,1,1,1,1,yes,4,,,,,,,Turkish Airlines,Turkey
2013-09-03,Turkish Airlines customer review,10,19/08 ATH-IST Boeing 737-800. A small flight no entertainment but excellent services. IST-BOM Boeing 777-300 with full inflight entertainment good enough very nice food service. Friendly and co-operative staff. Traveled back on 02/09 BOM-IST and IST-ATH same experience no complaints food entertainment and friendly staff. Good leg room. Very important to me as I am 180'. Good food. Good Entertainment system. Friendly Cabin Crew. Definitely recommended.,Economy Class,1,1,1,1,1,yes,5,,,,,,,Turkish Airlines,Turkey
2013-09-09,Turkish Airlines customer review,5,London to Istanbul 16/08/13 flight TK1980. 2 out of my last 3 flights were delayed. One for 6 hrs on a 3.5 hrs flight and another 1.15 hrs on 50 min flight. There is lack of information and communication from ground staff and poor customer relations. I find food to be average. Never had any problems with cabin crew as they are very professional. I think Turkish Airlines expanded its fleet and destinations too much too soon and now cannot manage it properly.,Economy Class,1,1,1,1,N/A,no,6,,,,,,,Turkish Airlines,Turkey
2013-09-12,Turkish Airlines customer review,,The return flight was overbooked hence they put us on a flight 7 hours later. They promised food vouchers but we never got them so ended up buying our own thing. When we were given boarding passes 2 out of 3 of them were hand written which was refused by the immigration officer after 1 hour of queuing. Had to go back to the airline desk and staff behaved as if it was our fault. when they issued printed boarding passes now they changed our seats to the back of the plane! When we eventually boarded the crew again shifted us to other seats. Offered a meal but they only had beef! I asked for a child pack and they did not have that either. Then I asked for a pillow / blanket for my baby which I was refused and stated that there were none.,Economy Class,1,1,1,1,1,no,7,,,,,,,Turkish Airlines,Turkey
2013-09-12,Turkish Airlines customer review,2,My first TK A330-300 trip my first Y experience on TK for a long time. The plane was full. I have never seen speciality meals delivered through the same door the pax were boarding very unprofessional. FA asking the gate agents to check some luggage (gate check) they had no idea how to deal with it. I have never seen giant garbage bags piled up at the doors during the flight as if there was no place to store it. Never seen one of the chefs coming off from his rest in a t-shirt carrying his uniform in his hand. It was chaotic for the whole flight constant shuttling of food trays bags drinks back and forth. Slow inattentive service. Good luck to the cleaning crew to turn it around on time. On the plus side most of the front lavatories were larger than I'm used to Thanks to the inflight entertainment iphone and my noise cancelling headphones I was happy. The Y seats were not comfortable for me for the 10.40 hrs flight. I hope I never have to do that again.,Economy Class,1,1,1,1,1,no,8,,,,,,,Turkish Airlines,Turkey
2013-09-12,Turkish Airlines customer review,,The return flight was overbooked hence they put us on a flight 7 hours later. They promised food vouchers but we never got them so ended up buying our own thing. When we were given boarding passes 2 out of 3 of them were hand written which was refused by the immigration officer after 1 hour of queuing. Had to go back to the airline desk and staff behaved as if it was our fault. when they issued printed boarding passes now they changed our seats to the back of the plane! When we eventually boarded the crew again shifted us to other seats. Offered a meal but they only had beef! I asked for a child pack and they did not have that either. Then I asked for a pillow / blanket for my baby which I was refused and stated that there were none.,Economy Class,1,1,1,1,1,no,9,,,,,,,Turkish Airlines,Turkey
2013-09-15,Turkish Airlines customer review,4,Flew TK071 HKG-IST on 29/08/2013. There was a delay of 30 mins or so no explanation from crews. Inflight entertainment and the food was superb. However the cabin crew were so unfriendly and they disappeared after the first service. No water or beverages offering during the flight until next service (breakfast) 2.5 hours before landing. I won't be travelling with Turkish Airlines until they improve their customer service.,Economy Class,1,1,1,1,1,no,10,,,,,,,Turkish Airlines,Turkey
